"","Name","Country","Region","Winery","Rating","NumberOfRatings","Price","wine_type","Year1"
"1","Pomerol 2011","France","Pomerol","Château La Providence",4.2,100,95,"tinto","2011"
"2","Lirac 2017","France","Lirac","Château Mont-Redon",4.3,100,15.5,"tinto","2017"
"3","Erta e China Rosso di Toscana 2015","Italy","Toscana","Renzo Masi",3.9,100,7.45,"tinto","2015"
"4","Bardolino 2019","Italy","Bardolino","Cavalchina",3.5,100,8.72,"tinto","2019"
"5","Ried Scheibner Pinot Noir 2016","Austria","Carnuntum","Markowitsch",3.9,100,29.15,"tinto","2016"
"6","Gigondas (Nobles Terrasses) 2017","France","Gigondas","Vieux Clocher",3.7,100,19.9,"tinto","2017"
"7","Marion's Vineyard Pinot Noir 2016","New Zealand","Wairarapa","Schubert",4,100,43.87,"tinto","2016"
"8","Red Blend 2014","Chile","Itata Valley","Viña La Causa",3.9,100,17.52,"tinto","2014"
"9","Chianti 2015","Italy","Chianti","Castello Montaùto",3.6,100,10.75,"tinto","2015"
"10","Tradition 2014","France","Minervois","Domaine des Aires Hautes",3.5,100,6.9,"tinto","2014"
"11","Chianti Riserva 2013","Italy","Chianti","Poggiotondo",3.9,100,20.95,"tinto","2013"
"12","Les Obriers de la Peira Terrasses du Larzac 2017","France","Terrasses du Larzac","La Pèira en Damaisèla",4.1,100,14.52,"tinto","2017"
"13","Zenas Primitivo 2018","Italy","Puglia","La Bollina",3.6,100,9.26,"tinto","2018"
"14","Cuvée Confidence Côtes du Rhône Rouge 2017","France","Côtes-du-Rhône","Domaine Fond Croze",3.7,100,8.49,"tinto","2017"
"15","Shiraz 2018","Australia","South Eastern Australia","Barramundi",3.2,100,6.5,"tinto","2018"
"16","Proprietor's Blend 2016","South Africa","Stellenbosch","Ernie Els",4.2,100,29.09,"tinto","2016"
"17","La Bienquerida 2016","Spain","Bierzo","Losada",4.3,100,41.58,"tinto","2016"
"18","Cabernet Sauvignon 2015","United States","California","Hacienda",3.8,100,7.95,"tinto","2015"
"19","Fulgeo Negroamaro Salento 2016","Italy","Salento","San Donaci",4,100,12.9,"tinto","2016"
"20","Contraste Tinto 2015","Portugal","Douro","Conceito",3.4,100,9.9,"tinto","2015"
"21","Steiner 2013","Hungary","Sopron","Weninger",3.7,100,24.5,"tinto","2013"
"22","Old Vines Primitivo 2015","Italy","Puglia","Azienda Agricola Morella",4.2,100,38.7,"tinto","2015"
"23","Virtus Tannat 2013","Brazil","Serra Gaúcha","Monte Paschoal",2.9,100,6.77,"tinto","2013"
"24","Kallista 2015","South Africa","Stellenbosch","Vriesenhof",4.3,100,26.25,"tinto","2015"
"25","Badia a Passignano Gran Selezione Chianti Classico 2016","Italy","Chianti Classico","Antinori",4.2,1000,39.9,"tinto","2016"
"26","Carlo V Il Rosso dell'Imperatore 2013","Italy","Veneto","Colli Vicentini",3.7,1000,15.9,"tinto","2013"
"27","Pinot Noir 2016","United States","Monterey","District 7",3.6,1001,15.98,"tinto","2016"
"28","Marquis de Calon Saint-Estèphe 2015","France","Saint-Estèphe","Château Calon-Ségur",3.9,1001,43.28,"tinto","2015"
"29","Hécula Monastrell 2017","Spain","Yecla","Castaño",3.3,1004,8.83,"tinto","2017"
"30","Berola 2015","Spain","Campo de Borja","Borsao",3.9,1006,14.52,"tinto","2015"
"31","Pinot Noir Bourgogne 2017","France","Bourgogne","Faiveley",3.7,1009,15.9,"tinto","2017"
"32","Vigna del Noce Barbera d'Asti 2007","Italy","Barbera d'Asti","Trinchero",4.1,101,76.9,"tinto","2007"
"33","I Tratturi Rosso 2017","Italy","Salento","San Marzano",3.8,101,7.04,"tinto","2017"
"34","Château Pilet Bordeaux 2017","France","Bordeaux","J.Queyrens & Fils",3.6,101,6.5,"tinto","2017"
"35","Sancerre Rouge 2015","France","Sancerre","Comte Lafond",4.2,101,37.34,"tinto","2015"
"36","Shiraz 2016","Australia","McLaren Vale","Food Truck",3.5,101,8.67,"tinto","2016"
"37","Ro-Rée Saint-Joseph 2018","France","Saint-Joseph","Louis Chèze",4.2,101,24.37,"tinto","2018"
"38","Cabernet Sauvignon 2015","South Africa","Stellenbosch","Big Flower",4,101,16.5,"tinto","2015"
"39","Cuvée Alienor Fronsac 2015","France","Fronsac","Château Mayne-Vieil",3.7,101,16.47,"tinto","2015"
"40","Sabbie di Sopra al Bosco 2014","Italy","Terre del Volturno","Nanni Copé",3.8,101,31.96,"tinto","2014"
"41","Roma Rosso 2018","Italy","Lazio","Poggio le Volpi",4,101,9.95,"tinto","2018"
